Genre,Certificate,Director,Box Office
Action,12,Joel Schumacher,336500000.00
Action,12,Tim Burton,411300000.00
Action,12,Zack Snyder,873300000.00
Action,12A,Ang Lee,245300000.00
Action,12A,Anthony Russo,1867400000.00
Action,12A,Bryan Singer,2090792741.00
Action,12A,Carl Rinsch,151800000.00
Action,12A,Christopher McQuarrie,682300000.00
Action,12A,Christopher Nolan,2464218673.00
Action,12A,Gareth Edwards,529100000.00
Action,12A,Guillermo del Toro,99318987.00
Action,12A,Guy Ritchie,545400000.00
Action,12A,James Mangold,414800000.00
Action,12A,James Wan,1516000000.00
Action,12A,Jon Favreau,1209100000.00
Action,12A,Joss Whedon,2925000000.00
Action,12A,Justin Lin,1414800000.00
Action,12A,Marc Webb,1466900000.00
Action,12A,Matt Reeves,710600000.00
Action,12A,Matthew Vaughn,353600000.00
Action,12A,Peter Berg,303000000.00
Action,12A,Rob Cohen,76932872.00
Action,12A,Sam Raimi,2496346518.00
Action,12A,Shane Black,1215000000.00
Action,12A,Zack Snyder,668000000.00
Action,15,Antoine Fuqua,95700000.00
Action,15,David Ayer,745600000.00
Action,15,John McTiernan,644100155.00
Action,15,Len Wiseman,479200000.00
Action,15,Matthew Vaughn,414400000.00
Action,15,Michael Bay,273300000.00
Action,15,Patrick Hughes,206200000.00
Action,15,Renny Harlin,240031094.00
Action,15,Richard Donner,285444603.00
Action,15,Ridley Scott,115100000.00
Action,15,Rob Cohen,277448382.00
Action,18,John Woo,245700000.00
Action,18,Jonathan Hensleigh,54700000.00
Action,18,Kathryn Bigelow,83500000.00
Action,18,Ted Post,44680473.00
Action,18,Zack Snyder,185300000.00
Action,PG,Akira Kurosawa,4500000.00
Action,PG,Joel Schumacher,238200000.00
Action,PG,Richard Lester,270600000.00
Action,PG,Tim Burton,266800000.00
Adventure,12,Gore Verbinski,654264015.00
Adventure,12,Hark Tsui,51700000.00
Adventure,12,Kevin Reynolds,264218220.00
Adventure,12,Stephen Sommers,848900000.00
Adventure,12,Wolfgang Peterson,328718434.00
Adventure,12A,Antoine Fuqua,203600000.00
Adventure,12A,Colin Trevorrow,1670000000.00
Adventure,12A,Francis Lawrence,1620400000.00
Adventure,12A,Gore Verbinski,2029600150.00
